R1_BAT,117.07,50.25,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,115.59,39.00,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,66.30,11.72,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,153.79,6.88,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,91.24,60.80,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.61,54.10,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB2,146.95,52.65,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,120.84,45.98,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.32,20.04,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,67.90,20.05,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,34.83,46.96,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,67.43,17.29,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,7.78,101.53,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,48.80,36.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,56.00,36.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.04,108.82,180.00,BUTTON_CUSYOMV11,MYBUTTON
R_BOOT,45.60,108.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.94,63.65,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.79,108.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.01,26.28,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.78,108.49,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,151.81,13.05,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,63.03,11.94,0.00,1,SJ
TP1,7.54,2.67,0.00,TP,TP20R
TP10,3.07,38.80,0.00,TP,TP20R
TP11,82.10,107.72,0.00,TP,TP20R
TP12,18.89,2.67,0.00,TP,TP20R
TP13,3.07,21.62,0.00,TP,TP20R
TP14,133.74,65.34,0.00,TP,TP20R
TP15,87.82,107.72,0.00,TP,TP20R
TP16,76.44,107.72,0.00,TP,TP20R
TP17,15.47,2.67,0.00,TP,TP20R
TP2,11.51,2.67,0.00,TP,TP20R
TP3,138.97,65.34,0.00,TP,TP20R
TP4,162.58,65.48,0.00,TP,TP20R
TP5,168.00,65.34,0.00,TP,TP20R
TP6,3.07,25.30,0.00,TP,TP20R
TP7,3.07,29.80,0.00,TP,TP20R
TP8,3.07,34.30,0.00,TP,TP20R
TP9,3.56,2.67,0.00,TP,TP20R
U1,40.19,53.34,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.35,54.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,83.59,55.87,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,133.54,51.74,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,124.39,49.31,90.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
